TR10134-5	Clonazepam	Chem	ACTIVE	\N	\N	\N	100000.509.000
TR10135-2	Clorazepate	Chem	ACTIVE	\N	\N	\N	\N
TR10136-0	Clozapine	Chem	ACTIVE	\N	\N	\N	100000.556.000
TR10137-8	Acetone	Chem	ACTIVE	\N	\N	\N	100000.535.000
TR10138-6	Cobalamins (Vitamin B12)	Chem	ACTIVE	2011-12-12	\N	\N	100000.217.000
TR10139-4	Acetone Screen	Chem	ACTIVE	\N	\N	\N	100000.536.000
TR10140-2	Cobalt	Chem	ACTIVE	\N	\N	\N	\N
TR10141-0	Copper	Chem	ACTIVE	\N	\N	\N	100000.386.000
TR10142-8	Cortisol Morning	Chem	ACTIVE	\N	\N	\N	100000.242.200
TR10143-6	Cortisol Evening	Chem	ACTIVE	\N	\N	\N	100000.242.300
TR10144-4	Cotinine	Chem	ACTIVE	\N	\N	\N	\N
TR10145-1	Creatine	Chem	ACTIVE	\N	\N	\N	\N
TR10146-9	Creatine Kinase	Chem	ACTIVE	\N	\N	\N	100000.319.000
TR10147-7	Creatine Kinase Fractionation	Chem	ACTIVE	\N	\N	\N	100000.320.000
TR10148-5	Creatine Kinase MB	Chem	ACTIVE	\N	\N	\N	100000.321.000
TR10149-3	Creatinine	Chem	ACTIVE	2024-05-16	\N	\N	100000.179.000
TR10150-1	Creatinine Clearance	Chem	ACTIVE	\N	\N	\N	100000.179.100
TR10151-9	Cyclobenzaprine	Chem	ACTIVE	\N	\N	\N	\N
TR10152-7	Cyclosporine	Chem	ACTIVE	\N	\N	\N	100000.557.000
TR10153-5	Cystatin C	Chem	ACTIVE	\N	\N	\N	\N
TR10154-3	Cystine	Chem	ACTIVE	\N	\N	\N	\N
TR10155-0	Cystine Screen	Chem	ACTIVE	\N	\N	\N	\N
TR10156-8	Dehydroepiandrosterone Sulphate	Chem	ACTIVE	\N	\N	\N	100000.244.100
TR10157-6	Delta Aminolevulinate	Chem	ACTIVE	\N	\N	\N	100000.397.900
TR10158-4	Deoxypyridinoline	Chem	ACTIVE	\N	\N	\N	\N
TR10159-2	Desipramine	Chem	ACTIVE	\N	\N	\N	100000.558.000
TR10160-0	Dextromethorphan	Chem	ACTIVE	\N	\N	\N	\N
TR10161-8	Diazepam	Chem	ACTIVE	\N	\N	\N	100000.511.000
TR10162-6	Digoxin	Chem	ACTIVE	2024-05-16	\N	\N	100000.559.000
TR10163-4	Dihydrotestosterone	Chem	ACTIVE	\N	\N	\N	100000.244.200
TR10164-2	Dimenhydrinate	Chem	ACTIVE	\N	\N	\N	\N
TR10165-9	Diphenhydramine	Chem	ACTIVE	\N	\N	\N	\N
TR10166-7	Disopyramide	Chem	ACTIVE	\N	\N	\N	\N
TR10167-5	Dopamine	Chem	ACTIVE	\N	\N	\N	100000.366.000
