3420	SCC	Hospitals In-Common Laboratory Inc.	160 Wellesley Street East	Jones Bldg., #226	Toronto	M4Y 1J3	2.16.840.1.113883.3.59.2	ACTIVE
3421	SCC	LifeLabs	210 Dundas Street East	\N	Belleville	K8N 5G8	2.16.840.1.113883.3.59.2	ACTIVE
3422	SCC	Intercounty Laboratories Limited	Medical/Dental Services Building, Building 0-142	El Alamein Street	Borden	L0M 1C0	2.16.840.1.113883.3.59.2	ACTIVE
3423	SCC	LifeLabs	280 Queenston Road	\N	Hamilton	L8K 1H1	2.16.840.1.113883.3.59.2	ACTIVE
3424	SCC	LifeLabs	155 Main Street East	\N	Grimsby	L3M 1P2	2.16.840.1.113883.3.59.2	ACTIVE
3425	SCC	LifeLabs	959 Dundas Street	\N	Woodstock	N4S 1H2	2.16.840.1.113883.3.59.2	ACTIVE
3426	SCC	LifeLabs	424 Talbot Street West	\N	Aylmer	N5H 1K9	2.16.840.1.113883.3.59.2	ACTIVE
3428	SCC	LifeLabs	75 Parkview Road	\N	Hagersville	N0A 1H0	2.16.840.1.113883.3.59.2	ACTIVE
3429	SCC	Hospitals In-Common Laboratory Inc.	16 James Street	\N	Parry Sound	P2A 1T2	2.16.840.1.113883.3.59.2	ACTIVE
3430	SCC	Hospitals In-Common Laboratory Inc.	Huntsville Professional Building	348 Muskoka Road N., #3	Huntsville	P0A 1K0	2.16.840.1.113883.3.59.2	ACTIVE
3435	SCC	LifeLabs	1919 Riverside Drive	\N	Ottawa	K1H 1A2	2.16.840.1.113883.3.59.2	ACTIVE
3436	SCC	LifeLabs	267 O'Connor Street	\N	Ottawa	K2P 1V3	2.16.840.1.113883.3.59.2	ACTIVE
3438	SCC	LifeLabs	59 Main Street East	\N	Kingsville	N9Y 1A1	2.16.840.1.113883.3.59.2	ACTIVE
3440	SCC	LifeLabs	36 Vodden Street East	Suite102	Brampton	L6V 4H4	2.16.840.1.113883.3.59.2	ACTIVE
3441	SCC	Hospitals In-Common Laboratory Inc.	157 Alfred Street	\N	Pembroke	K8A 2Z9	2.16.840.1.113883.3.59.2	ACTIVE
3442	SCC	Copper Cliff Clinic	38 Godfrey Drive	\N	Copper Cliff	P0M 1N0	2.16.840.1.113883.3.59.2	ACTIVE
3443	SCC	NorWest Community Health Centres - Longlac Site	99 Skinner Avenue	\N	Longlac	P0T 2A0	2.16.840.1.113883.3.59.2	ACTIVE
3446	SCC	LifeLabs	72 Prince Avenue West	\N	Renfrew	K7V 4G1	2.16.840.1.113883.3.59.2	ACTIVE
3448	SCC	Hospitals In-Common Laboratory Inc.	307A Bridge Street West	\N	Napanee	K7R 2G3	2.16.840.1.113883.3.59.2	ACTIVE
3449	SCC	The McCausland Hospital	J.E. Stokes Medical/Dental Centre	503 Scotia Street	Schreiber	P0T 2S0	2.16.840.1.113883.3.59.2	ACTIVE
3450	SCC	LifeLabs	105 Main Street	\N	Delhi	N4B 2L8	2.16.840.1.113883.3.59.2	ACTIVE
3453	SCC	LifeLabs	65 Donly Drive North	\N	Simcoe	N3Y 0C2	2.16.840.1.113883.3.59.2	ACTIVE
3454	SCC	LifeLabs	460 Springbank Drive	\N	London	N6J 0A8	2.16.840.1.113883.3.59.2	ACTIVE
3455	SCC	LifeLabs	154 Civic Centre Road	Suite 159	Petawawa	K8H 2E6	2.16.840.1.113883.3.59.2	ACTIVE
3456	SCC	LifeLabs	340 College Street	Suite 401	Toronto	M5T 3A9	2.16.840.1.113883.3.59.2	ACTIVE
3458	SCC	LifeLabs	37 Voyager Court North	\N	Etobicoke	M9W 4Y2	2.16.840.1.113883.3.59.2	ACTIVE
3459	SCC	LifeLabs	600 Sherbourne Street	Suite 206	Toronto	M4K 1W1	2.16.840.1.113883.3.59.2	ACTIVE
3466	SCC	Hospitals In-Common Laboratory Inc.	40 Broadway Avenue	\N	Orangeville	L9W 1J7	2.16.840.1.113883.3.59.2	ACTIVE
3515	SCC	LifeLabs	222 King Street East	\N	Bowmanville	L1C 1P6	2.16.840.1.113883.3.59.2	ACTIVE
3516	SCC	LifeLabs	5-660 Garrison Road	\N	Fort Erie	L2A 6E2	2.16.840.1.113883.3.59.2	ACTIVE
3517	SCC	LifeLabs	279 Wharncliffe Road North	\N	London	N6H 2C2	2.16.840.1.113883.3.59.2	ACTIVE
3518	SCC	LifeLabs	310 Bridge Street West	\N	Napanee	K7R 0A4	2.16.840.1.113883.3.59.2	ACTIVE
3519	SCC	LifeLabs	470 Bronte Street South	\N	Milton	L9T 2J4	2.16.840.1.113883.3.59.2	ACTIVE
3520	SCC	LifeLabs	250 Harding Blvd. West	Suite B03	Richmond Hill	L4C 9M7	2.16.840.1.113883.3.59.2	ACTIVE
3521	SCC	LifeLabs	174 Harwood Avenue South	\N	Ajax	L1S 2H6	2.16.840.1.113883.3.59.2	ACTIVE
3522	SCC	LifeLabs	450 Central Avenue	\N	London	N6B 2E8	2.16.840.1.113883.3.59.2	ACTIVE
3524	SCC	LifeLabs	1955 King Street	\N	Hamilton	L8K 1W2	2.16.840.1.113883.3.59.2	ACTIVE
3525	SCC	Hospitals In-Common Laboratory Inc.	250 Third Avenue	\N	Timmins	P4N 1E3	2.16.840.1.113883.3.59.2	ACTIVE
3526	SCC	LifeLabs	208 Bloor Street West	\N	Toronto	M5S 3B4	2.16.840.1.113883.3.59.2	ACTIVE
3527	SCC	LifeLabs	2300 Eglinton Avenue West	Suite G04	Mississauga	L5M 2V8	2.16.840.1.113883.3.59.2	ACTIVE
3528	SCC	LifeLabs	1448 Lawrence Avenue East	Suite 208	North York	M4A 2V6	2.16.840.1.113883.3.59.2	ACTIVE
3529	SCC	LifeLabs	2462 Howard Avenue	\N	Windsor	N8X 3V6	2.16.840.1.113883.3.59.2	ACTIVE
3530	SCC	LifeLabs	245 King Street West	\N	Oshawa	L1J 2J7	2.16.840.1.113883.3.59.2	ACTIVE
3531	SCC	LifeLabs	5293 Highway #7	\N	Markham	L3P 1B8	2.16.840.1.113883.3.59.2	ACTIVE
3533	SCC	LifeLabs	55 Queen Street East	#506	Toronto	M5C 1R6	2.16.840.1.113883.3.59.2	ACTIVE
3534	SCC	LifeLabs	701 Sheppard Avenue	\N	North York	M2K 1C2	2.16.840.1.113883.3.59.2	ACTIVE
3535	SCC	LifeLabs	8077 Islington Avenue	Suite 108	Woodbridge	L4L 7X7	2.16.840.1.113883.3.59.2	ACTIVE
3536	SCC	LifeLabs	101 Queensway West	\N	Mississauga	L5B 2P7	2.16.840.1.113883.3.59.2	ACTIVE
3537	SCC	LifeLabs	6855 Meadowvale Towne Centre Circle	Suite 108	Mississauga	L5N 2Y1	2.16.840.1.113883.3.59.2	ACTIVE
3538	SCC	LifeLabs	University Community Centre, Room 34A, University of Western Ontario	\N	London	N6A 3K7	2.16.840.1.113883.3.59.2	ACTIVE
3539	SCC	LifeLabs	4949 Bathurst Street	Suite 217	North York	M2R 1Y1	2.16.840.1.113883.3.59.2	ACTIVE
3540	SCC	LifeLabs	2160 Weston Road	Lower Level	York	M9N 1X6	2.16.840.1.113883.3.59.2	ACTIVE
3542	SCC	LifeLabs	10 Waterloo Street	\N	New Hamburg	N3A 1V5	2.16.840.1.113883.3.59.2	ACTIVE
3543	SCC	LifeLabs	34 Whitewood Avenue	\N	New Liskeard	P0J 1P0	2.16.840.1.113883.3.59.2	ACTIVE
3544	SCC	LifeLabs	117 South McKellar Street	\N	Thunder Bay	P7E 1H5	2.16.840.1.113883.3.59.2	ACTIVE
3545	SCC	LifeLabs	63 North Algoma Street	\N	Thunder Bay	P7A 4Z6	2.16.840.1.113883.3.59.2	ACTIVE
3547	SCC	LifeLabs	955 Queen Street East	Suite 65	Sault Ste. Marie	P6A 2C3	2.16.840.1.113883.3.59.2	ACTIVE
3548	SCC	LifeLabs	7700 Bathurst Street	\N	Thornhill	L4J 7V3	2.16.840.1.113883.3.59.2	ACTIVE
3549	SCC	LifeLabs	3155 Harvester Road	\N	Burlington	L7N 3V2	2.16.840.1.113883.3.59.2	ACTIVE
3550	SCC	LifeLabs	350 Conestoga Boulevard	\N	Cambridge	N1R 7L7	2.16.840.1.113883.3.59.2	ACTIVE
3551	SCC	LifeLabs	1333 Sheppard Avenue East	Suite 149	North York	M2J 1V1	2.16.840.1.113883.3.59.2	ACTIVE
3552	SCC	LifeLabs	750 Dundas Street West	Ground Floor	Toronto	M6T 1T8	2.16.840.1.113883.3.59.2	ACTIVE
3553	SCC	LifeLabs	2425 Bloor St. West	\N	Toronto	M6S 4W4	2.16.840.1.113883.3.59.2	ACTIVE
3554	SCC	LifeLabs	945 Third Avenue East	Suites 15 And 23	Owen Sound	N4K 2K8	2.16.840.1.113883.3.59.2	ACTIVE
3555	SCC	LifeLabs	350 Hespeler Road	\N	Cambridge	N1R 7N7	2.16.840.1.113883.3.59.2	ACTIVE
3579	SCC	Hospitals In-Common Laboratory Inc.	550 Louise Street	\N	Winchester	K0C 2K0	2.16.840.1.113883.3.59.2	ACTIVE
3581	SCC	Hospitals In-Common Laboratory Inc.	245 Union Street East	\N	Fergus	N1M 1W2	2.16.840.1.113883.3.59.2	ACTIVE
3582	SCC	Hospitals In-Common Laboratory Inc.	39 Drummond Street West	\N	Perth	K7H 2J9	2.16.840.1.113883.3.59.2	ACTIVE
3583	SCC	LifeLabs	480 Huronia Road	\N	Barrie	L4N 6M2	2.16.840.1.113883.3.59.2	ACTIVE
3584	SCC	LifeLabs	4800 Leslie Street	\N	North York	M2J 2K9	2.16.840.1.113883.3.59.2	ACTIVE
3591	SCC	LifeLabs	377 Church Street	Suite G05	Markham	L6B 1A1	2.16.840.1.113883.3.59.2	ACTIVE
3594	SCC	LifeLabs	1221 Algonquin Avenue	\N	North Bay	P1B 4Y3	2.16.840.1.113883.3.59.2	ACTIVE
